1-2-1 Boston Refugee Youth Enrichment (PBHA),"BRYE 1-2-1 is a big sibling program for children who, already have a working knowledge of English, and would benefit from a one-on-one mentoring relationship. Through this program, we seek to help them experience parts of American culture they might otherwise miss, give them role models to look up to, and make friendships that endure. Volunteers meet with their little siblings once a week on Saturdays, sometimes spending time one-on-one and other times taking part in organized &quot;optional activities&quot; or group field trips (for example, to the Boston Children&#39;s Museum, the Ringling Brothers Barnum and Bailey&#39;s Circus, ice skating lessons, etc.)",brye121@pbha.org,-
Access Health,"The purpose of Access Health is to empower low-income residents of the greater Boston area by providing them with information about the health resources available to them. We do this by staffing booths at weekly soup kitchens in Cambridge at which attendees are invited to discuss their medical concerns with our volunteers. We aim to provide attendees with information about how they might get attention for their medical needs at a low cost. This includes information about local clinics, emergency care, public health insurance, and other programs available for low-income patients. We also offer to measure interested attendees?? blood pressure, provide them with a recording, and ask them to discuss any concerns with a health-care provider.",harvardcollegeaccesshealth@gmail.com,-
Act On A Dream,"Harvard College Act On A Dream is a student sponsored group whose purpose is to motivate Harvard students to become actively involved in immigration reform and to provide students with immigration-related interests the resources necessary to pursue their goals. It focuses in part on providing immigrant students equal educational opportunities by means of lobbying, educating the public, and raising awareness within campus communities and throughout the nation. It is hoped that Act on a Dream will grant thousands of hardworking students access to higher education and eventual citizenship while promoting political activism among the nation&#39;s youth.                                         Act On A Dream provides a valuable tool to students interested in making change relevant to immigration issues. At the very least it is a network of concerned students sharing a common interest to promote education and awareness. At its best, the organization is a mechanism to achieve immediate goals on campus within the means of a Harvard organization.",info@actonadream.org,http://www.actonadream.org
Advocating Success for Kids,"In order to help eliminate the link between low income and diminished access to education, the ASK program advocates on behalf of children with special needs so they can benefit from resources for academic success.",advocatingsuccessforkids@gmail.com,https://sites.google.com/site/advocatingsuccess/
Africa Business and Investment Club (HABIC),"Africa provides quintessential grounds for analytical study of poverty and underdevelopment and the role of ethical business in ameliorating some of these problems. This kind of cross-context understanding of poverty, underdevelopment and the role of ethical business practice in ameliorating them, in an era of globalization and rapid economic transformations-- is imperative for Africa and the developing world in general.           A club like the forenamed will promote better understanding of these and other issues by bringing together Harvard College students and Experts from academia, business, finance and development fields. Many of our members are interested in careers in Africa after graduation or in the long term. Members will also typically (but need not) have an interest in business, finance, economics, development, government or some other related field. Every year, the club will run a real or simulated investment project based on an identified developmental or poverty-alleviation need in a chosen African country.",harvardafricabusiness@gmail.com,http://harvardafricabusiness.org
African Students Association (HASA),"The Harvard African Students&#39; Association, founded in 1977, is an organization committed to nourishing cultural, intellectual, political and economic awareness about the African continent. We are the Harvard community for students from Africa, connected to Africa, or interested in matters concerning Africa. Anyone who is intrigued by lively debates, art shows, cultural shows, music, and African cuisine will find a welcoming home at HASA. We are dedicated to building community and promoting collaboration amongst African students at Harvard, encouraging awareness of Africa within the Harvard community and the greater Boston area, and ultimately contributing back our continent.",harvardasa@gmail.com,http://www.harvardasa.com
Agriculture Club,,tbd,-
Albanian Students Association,"The Albanian Students Association is an organization that units students of Albanian origin and students interested in Albanian culture, history and contemporary issues. The organization will raise awareness of social, economic, and political conditions that affect Albanians throughout the world through: community discussions, cultural (music/food/film) events, forums and networking events. ",asa@hcs.harvard.edu,http://www.hcs.harvard.edu/~asa/
Alexander Hamilton Society,-,tbd,-
Alpha Omega,"Harvard College Alpha Omega (HCAO) seeks to discuss issues of faith, reason, and spirituality within the Christian tradition and to explore how these concern the Harvard community; to enrich understanding of Christianity and of the Restoration Movement among faculty and students; to foster an exchange of ideas concerning the identity and purpose of the Restoration Movement, both within Christianity and within the global religious community; and to provide a center for fellowship among students and faculty interested in the Restoration Movement, especially for members of the Disciples of Christ, the Independent Christian Churches, the Churches of Christ, the International Churches of Christ, and the non-institutional Churches of Christ.",alphaomega@hcs.harvard.edu,http://www.hcs.harvard.edu/alphaomega
